Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Divani Meteora Hotel,lodging,"National Road, Trikalon - Kalampaka, Kalampaka 422 00, Greece",4.5,2226,39.702687,21.633046,,https://maps.google.com/maps/contrib/100239786603372555087,ChIJrSk2IcUPWRMR12-V2Oj-eWQ
Katogi Averoff Hotel & Winery,lodging,"Metsovo 442 00, Greece",4.8,540,39.7768166,21.180013,,https://maps.google.com/maps/contrib/113683613872123564980,ChIJfQnI-1NjWRMRZjV_X43MYsQ
Hotel Doupiani House,lodging,"Kastraki 422 00, Greece",4.6,984,39.7202121,21.6168304,,https://maps.google.com/maps/contrib/100559153901215972880,ChIJJ4zppEwOWRMRus0803-lpAY
Meteora Hotel,lodging,"2nd km. Kalambaka - Ioannina, Kastraki, Kalambaka 422 00, Greece",4.3,1338,39.7165,21.608157,,https://maps.google.com/maps/contrib/115632930986562898041,ChIJHZXstUoOWRMRpJZtNRnvYvA
The Storyteller Boutique House,lodging,"Rodou 3, Kalampaka 422 00, Greece",4.9,72,39.7065441,21.6232311,,https://maps.google.com/maps/contrib/105383555112028535343,ChIJjz8hOwcPWRMRGTlYJkCAg6U
Mirabilis Boutique Hotel Meteora,lodging,"Vitoima Terma, Kalampaka 422 00, Greece",4.8,138,39.6971086,21.621051,,https://maps.google.com/maps/contrib/100974282334863114854,ChIJl3X0UQ4PWRMRRkEZCwRHuZ4
Archontiko Mesohori Meteora,lodging,"Kastraki 422 00, Greece",4.8,234,39.7159251,21.6237867,,https://maps.google.com/maps/contrib/102640931461169143384,ChIJU31I49EPWRMR4veLtOfPPvM
Pyrgos Adrachti,lodging,"Kastraki 422 00, Greece",4.9,314,39.7163764,21.6238085,,https://maps.google.com/maps/contrib/106222941294505949107,ChIJvUlmQLUPWRMRl-gA8cJ8KKQ
FLOARA DI MUNTE Forest Luxury Suites,lodging,"Αγία Τριάδα, Metsovo 442 00, Greece",5.0,47,39.7717961,21.1782405,,https://maps.google.com/maps/contrib/104365810141062004264,ChIJfSPUMWdjWRMROmBfDedw-04
Hotel Meteoritis,lodging,"Μετεώρων 56 Καστρακι, Kalampaka 422 00, Greece",4.2,815,39.7173338,21.6167214,,https://maps.google.com/maps/contrib/104459907124413699995,ChIJ5_a8y0oOWRMRhcXkh1DMN18
Vintage Suites Trikala,lodging,"EO Trikalon Ioanninon 254, Trikala 421 00, Greece",4.9,194,39.5876692,21.735906,,https://maps.google.com/maps/contrib/110591910696650708050,ChIJOeN_4mcZWRMRkQFifvC_Fg4
Boutique Plakias Guesthouse ex Boutique Holy Spirit,lodging,"Kastraki Village, Kalambaka 422 00, Greece",4.9,125,39.71637399999999,21.620061,,https://maps.google.com/maps/contrib/102514776669228681730,ChIJPZjY0koOWRMRQcSmeOo9wws
Aroma Dryos Spa & Eco Hotel,lodging,"ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ, Metsovo 442 00, Greece",4.9,856,39.7703759,21.1846749,,https://maps.google.com/maps/contrib/117271378639681338481,ChIJbRW-GVdjWRMRkSdKrUU3xeA
Oikia Guesthouse Meteora,lodging,"Patriarchou Dimitriou 45, Kalampaka 422 00, Greece",4.9,252,39.7076852,21.6181151,,https://maps.google.com/maps/contrib/115201229596753772984,ChIJP183byAPWRMRD87mFnFqbpY
Hotel Magiossi,lodging,"Neraidochori 420 32, Greece",4.6,359,39.5299622,21.4427998,,https://maps.google.com/maps/contrib/115214022126005075842,ChIJB8Gl4PtAWRMRuWpPmXEtnf0
Victoria Metsovon Hotel S.A.,lodging,"Metsovo 442 00, Greece",4.6,239,39.777434,21.179366,,https://maps.google.com/maps/contrib/110752519287583338494,ChIJb2ryxFpjWRMRfKVoN720ed0
Meteora Heaven and Earth Kastraki premium suites,lodging,"ΚΑΣΤΡΑΚΙ 0, Kalampaka 422 00, Greece",4.9,50,39.7163136,21.6178993,,https://maps.google.com/maps/contrib/115539712203918800266,ChIJO6Mln8sPWRMRpwWoOF3h-vk
Epavlis Suites Hotel,lodging,"Kalabaka 422 00, Greece",4.7,278,39.70460509999999,21.6364169,,https://maps.google.com/maps/contrib/112076606372642597211,ChIJn0eQjOoPWRMReIbe4e9P2qM
