Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Tatra Hotel,lodging,"7, Karpatská 3314, 058 01 Poprad, Slovakia",4.1,747,49.0579317,20.2922546,,https://maps.google.com/maps/contrib/115774952686163857979,ChIJFzn-w1qJbEcRGysuxK7N_3k
Kaskáda Hotel & Catering,lodging,"Hlavná 30, 059 51 Poprad-Matejovce-Matejovce, Slovakia",4.5,891,49.0804215,20.3277934,,https://maps.google.com/maps/contrib/104226463145562235697,ChIJRWiOToElPkcRzTKNgY5Iesg
Grand Hotel Kempinski High Tatras,lodging,"Kúpeľná 6, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.7,1844,49.1193343,20.0590182,,https://maps.google.com/maps/contrib/105098066230946670968,ChIJH0H2Q4MnPkcRSCwsDJsNsyw
Grand Hotel Stary Smokovec,lodging,"Starý Smokovec 38, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.6,1658,49.1408168,20.2215439,,https://maps.google.com/maps/contrib/110854060898791825368,ChIJO8xwqvcjPkcRSfk53L1WtFk
Grandhotel Praha Tatranská Lomnica,lodging,"Tatranská Lomnica 8, 059 60 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.6,2505,49.1698,20.280179,,https://maps.google.com/maps/contrib/102984476109570525906,ChIJyendiqsjPkcRJt6glqleANI
Mountain hotel Popradské pleso,lodging,"Popradské Pleso, Štrbské Pleso, 059 85 Vysoké Tatry, Slovakia",4.4,1787,49.155012,20.07992,,https://maps.google.com/maps/contrib/110774743389572624308,ChIJq6qqvv2JFUcRIgvrpqzSNQ4
COTTAGE Solisko 1840 m asl,lodging,"Štrbské Pleso, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.7,5632,49.1443765,20.0405334,,https://maps.google.com/maps/contrib/112789178101963394328,ChIJs5yjrr-JFUcRXPL1HQw_xDA
Hotel Lomnica,lodging,"Tatranská Lomnica 92, 059 60 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.8,1367,49.1657283,20.2802877,,https://maps.google.com/maps/contrib/111132729412212692592,ChIJnbxvrqojPkcRYgXvXBrVYs8
Hotel Sliezsky Dom,lodging,"Tatranská polianka 32, 062 01 Vysoké Tatry, Slovakia",4.6,3708,49.1560822,20.15658,,https://maps.google.com/maps/contrib/102209158721474259851,ChIJWziFRi8hPkcRMLnsopJGthg
Slow Tatry Boutique Resort,lodging,"Cyrhla 19d, 34-500 Zakopane, Poland",4.9,195,49.2919985,20.01936,,https://maps.google.com/maps/contrib/112752607682372251549,ChIJJ_zZrzTzFUcRgLnyXmDgmRY
Hotel Panorama Resort,lodging,"Štrbské Pleso 4020, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.6,1269,49.1179091,20.0611585,,https://maps.google.com/maps/contrib/108357741825319329606,ChIJsclh94AnPkcR9HtW6aeEzKQ
Bilíkova Chata,lodging,"Hrebienok, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.6,1605,49.16004299999999,20.2243621,,https://maps.google.com/maps/contrib/111226001466730920657,ChIJWSxdcNwjPkcRra5TvoqiZ7E
TATRA SUITES Luxury Studio A305,lodging,"Starý Smokovec 18095, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.8,42,49.1410069,20.2194317,,https://maps.google.com/maps/contrib/116191666940867600641,ChIJsa09ka4jPkcRY_AxDBklafo
Vila Polar,lodging,"Móryho 4014/6, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.9,203,49.1162054,20.0617727,,https://maps.google.com/maps/contrib/110947463058835528727,ChIJRZV1rYYnPkcR7Ohln79u9yE
Hotel Grand Jasná,lodging,"Demänovská Dolina 71, 031 01 Demänovská Dolina, Slovakia",4.4,2251,48.9705429,19.5806266,,https://maps.google.com/maps/contrib/108880383013120606040,ChIJta6LVXF2FUcRkbMhYA-C19s
Hotel Crocus | Štrbské Pleso,lodging,"Szentiványho 4078/11, 059 38 Vysoké Tatry-Štrbské Pleso, Slovakia",4.5,783,49.11902140000001,20.0633521,,https://maps.google.com/maps/contrib/100046095862246529364,ChIJ3Ur3YIMnPkcRPcUTJes07Wo
Kontakt Wellness Hotel,lodging,"Stará Lesná 180, 059 52 Stará Lesná, Slovakia",4.7,882,49.1509042,20.285787,,https://maps.google.com/maps/contrib/117457887348353224760,ChIJ7ajdoacjPkcRVdNVYhZ7XPY
Hotel FIS,lodging,"K Vodopádom 4028/26, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.4,1574,49.1286684,20.0610709,,https://maps.google.com/maps/contrib/109519200029308701243,ChIJR-GdRNaJFUcRyEUTyuPtvCA
APLEND Vila Olívia,lodging,"Nový Smokovec 19258, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.8,221,49.13911,20.2159427,,https://maps.google.com/maps/contrib/109389268090444299867,ChIJw9uIDfcjPkcRMfGd9WtMqTo
Koliba Kamzík Starý Smokovec,restaurant,"Starý Smokovec 8, 062 01 Vysoké Tatry, Slovakia",4.7,4958,49.1415122,20.2231347,,https://maps.google.com/maps/contrib/105955442377689773245,ChIJJ3KXY_EjPkcRYmLrjiZYiEI
Starý Šmakovec restaurant,restaurant,"Starý Smokovec 24, 062 01 Vysoké Tatry, Slovakia",4.7,2392,49.13991,20.222363,,https://maps.google.com/maps/contrib/116770005419503690596,ChIJC3fj_vMjPkcRWUS5HcpYW2I
"Koliba Smokovec s.r.o., Starý Smokovec 18034, 062 01 Vysoké Tatry",restaurant,"Starý Smokovec 34, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.6,1966,49.1381513,20.2220934,,https://maps.google.com/maps/contrib/114049422474764716476,ChIJ5SXQwvAjPkcRTQPkvm-Rick
Koliba Štrbské Pleso,restaurant,"059 38 4095/17, K Vodopádom, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.5,2340,49.1250683,20.0629131,,https://maps.google.com/maps/contrib/113952083420860436362,ChIJvwXZPn4nPkcREK0kb3Dabok
Spitz restaurant and bar,restaurant,"Starý Smokovec 62, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.7,885,49.1411867,20.2250009,,https://maps.google.com/maps/contrib/110809390779993283640,ChIJt51xTbwlPkcRuU5lKA3fBvw
Koliba Patria,restaurant,"Štrbské Plesa 33, 059 38 Vysoké Tatry-Štrbské Pleso, Slovakia",4.3,1875,49.122395,20.0621451,,https://maps.google.com/maps/contrib/102682545078854006833,ChIJi6p9mn8nPkcRgi6JaU-mKKo
Dobré Časy,restaurant,"Starý Smokovec 19100, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.6,796,49.1400635,20.2199071,,https://maps.google.com/maps/contrib/103124987580830643031,ChIJ3-Dd51wjPkcRaXjivHVbxi4
Reštaurácia Furkotka,restaurant,"Poštová 9, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.7,1711,49.11797319999999,20.0625183,,https://maps.google.com/maps/contrib/102408015161578638307,ChIJkX19EXEnPkcRqltz8P4QXcA
Reštaurácia Stodola,restaurant,"Starý Smokovec 19024, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.6,701,49.1391898,20.2197072,,https://maps.google.com/maps/contrib/111539194214632700308,ChIJ9faXWmgjPkcRVzJxyi9pexM
Humno Tatry,restaurant,"Tatranská Lomnica, 059 60 Vysoké Tatry, Slovakia",4.3,2969,49.1652092,20.2727579,,https://maps.google.com/maps/contrib/105055736535971092358,ChIJTeG-EgAjPkcRja5KlLJ0_v8
Reštaurácia Plesnivec,restaurant,"Štrbské Plesa 24, 059 85 Vysoké Tatry, Slovakia",4.3,1313,49.1195496,20.0660895,,https://maps.google.com/maps/contrib/107503768151317986923,ChIJr1qUoXgnPkcRqhylZ1OVoqw
Olívia Restaurant,restaurant,"Tatranská Lomnica 14646, 059 60 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.4,237,49.1633834,20.2729433,,https://maps.google.com/maps/contrib/114526718834775367425,ChIJHTjAq2MjPkcRgqPBsGw6ktg
Reštaurácia Stará mama,restaurant,"Tatranská Lomnica 121, 062 01 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.2,3123,49.16444,20.279839,,https://maps.google.com/maps/contrib/106189685545000957147,ChIJuxNF5vMjPkcRMBYVP7sdQko
Penzion a Restaurant Koliba,restaurant,"059 54 Vysoké Tatry-Tatranská Kotlina, Slovakia",4.5,2172,49.22972009999999,20.3175749,,https://maps.google.com/maps/contrib/114756697191040611433,ChIJUYyNCfEYPkcRIZbSsQ_09yY
Libertin Brasserie,restaurant,"Starý Smokovec 18100, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.7,404,49.1401197,20.2200991,,https://maps.google.com/maps/contrib/109545115722249176641,ChIJRze-egwjPkcRHmQNIe1S4f8
Koliba Žerucha,restaurant,"Horská, Železničná 1171, Tatranská Štrba, 059 41 Štrba, Slovakia",4.6,3596,49.0838633,20.0710586,,https://maps.google.com/maps/contrib/101974121258379139180,ChIJvcc88NsnPkcRqe_IBI5lJZE
Ponderossa Steakhouse Lomnica,restaurant,"Tatranská Lomnica 88, 062 01 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.5,989,49.1654304,20.2830659,,https://maps.google.com/maps/contrib/112922652381012554744,ChIJQRnCIQAjPkcRSIa6mOUj8VQ
IBA.TU Bistro,restaurant,"Starý Smokovec 18101, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.7,822,49.1405592,20.2203098,,https://maps.google.com/maps/contrib/113196218899815767440,ChIJq4vYKcMjPkcR-SeoE4mMJbY
"Koliba Tatry, s.r.o.",restaurant,"Slavkovská 521, 059 86 Nová Lesná, Slovakia",4.4,1397,49.1233087,20.2588647,,https://maps.google.com/maps/contrib/112279299200857861266,ChIJRYxOepskPkcRmdgRWwUFUAs
Grill Pub Restaurant,restaurant,"Tatranská Lomnica 96, 062 01 Vysoké Tatry-Tatranská Lomnica, Slovakia",4.3,1390,49.1650602,20.2787421,,https://maps.google.com/maps/contrib/107734467649090349202,ChIJuxNF5vMjPkcR8HzPfUyot0A
